,monto_original,saldo_capital,Cliente,ultima_gestion,cartera,tipo_cartera,descripcion_reaccion,tipo_trabajo,genero,ubicacion_electoral,salario_inferior,salario_superior,edad,Recuperable,year_ultimo_pago
1851,114.31,63.63,2080,2021,CREDIX,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,422.5,455.0,49,Si,2021
1911,621.9,621.9,2150,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,910.0,942.5,59,Si,2021
1930,1620.8,1323.68,2173,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,325.0,357.5,46,Si,2021
1999,650.01,650.01,2252,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,MASC,PUNTARENAS,617.5,650.0,33,Si,2021
2088,2978.87,2978.87,2351,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,MASC,SAN JOSE,390.0,422.5,35,Si,2021
2140,759.53,759.53,2409,2021,SERVIVALORES,Propia,Promesa de Pago,PUBLICO,FEM,SAN JOSE,390.0,422.5,66,Si,2021
2173,727.49,727.49,2443,2021,CITI,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,1072.5,1105.0,66,Si,2021
2185,6415.73,6415.73,2455,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,FEM,SAN JOSE,877.5,910.0,51,Si,2014
2191,1097.87,1097.87,2461,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,325.0,357.5,45,Si,2021
2269,229.17,229.17,2548,2021,SERVIVALORES,Propia,Promesa de Pago,PROPIO,FEM,ALAJUELA,292.5,325.0,54,Si,2021
2284,4026.06,4026.06,2565,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,552.5,585.0,32,Si,2021
2356,3398.84,3398.84,2645,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,97.5,130.0,45,Si,2021
2437,5663.16,5663.16,2736,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,1560.0,1592.5,29,Si,2021
2654,1088.41,1088.41,2975,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,65.0,97.5,32,Si,2021
2662,1275.04,1275.04,2985,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,260.0,292.5,51,Si,2021
2679,1262.56,1262.56,3011,2021,CITI,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,162.5,195.0,54,Si,2021
2705,449.48,449.48,3042,2021,SERVIVALORES,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,422.5,455.0,62,Si,2021
2851,3757.76,3757.76,3207,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,162.5,195.0,32,Si,2021
2920,4719.38,4719.38,3284,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,97.5,130.0,33,Si,2021
2987,30475.67,30475.67,3359,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,715.0,747.5,53,Si,2021
3224,4662.9,4662.9,3622,2021,CITI,Propia,Promesa de Pago,PROPIO,MASC,LIMON,292.5,325.0,48,Si,2021
3461,1377.24,1377.24,3898,0,Legal,Propia,Traslado de cuenta (Distribución),PROPIO,MASC,LIMON,682.5,715.0,64,Si,2020
3507,818.32,818.32,3952,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,650.0,682.5,63,Si,2021
3591,2284.36,2218.21,4051,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,97.5,130.0,33,Si,2021
3690,221.15,221.15,4164,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,195.0,227.5,42,Si,2021
3714,1734.33,1734.33,4192,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,MASC,LIMON,357.5,390.0,51,Si,2021
3739,423.77,423.77,4218,2021,CREDIX,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,162.5,195.0,30,Si,2021
3861,1042.34,1042.34,4355,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,520.0,552.5,32,Si,2021
3879,14139.76,14139.76,4374,2021,CITI,Propia,Promesa de Pago,PROPIO,MASC,SAN JOSE,422.5,455.0,74,Si,2021
3970,1127.7,1127.7,4475,2021,CREDIX,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,422.5,455.0,41,Si,2021
3999,9560.24,8976.29,4505,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,1072.5,1105.0,39,Si,2021
4008,6447.16,6447.16,4516,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,1040.0,1072.5,48,Si,2021
4012,1024.42,1024.42,4521,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,227.5,260.0,25,Si,2021
4021,2555.55,1450.76,4532,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,0.0,32.5,37,Si,2021
4038,1736.53,1736.53,4550,2021,SERVIVALORES,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,1072.5,1105.0,66,Si,2021
4110,1881.62,1779.62,4631,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,520.0,552.5,55,Si,2021
4152,6432.19,6432.19,4679,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,65.0,97.5,34,Si,2021
4228,820.29,820.29,4765,2021,DAVIVIENDA,Propia,Promesa de Pago,PUBLICO,MASC,LIMON,682.5,715.0,66,Si,2021
4243,576.38,576.38,4780,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,GUANACASTE,390.0,422.5,47,Si,2021
4322,2975.51,2975.51,4873,2021,A-PROMERICA,Propia,Contacto sin Promesa,PUBLICO,MASC,LIMON,455.0,487.5,48,Si,0
4878,471.18,471.18,5501,2021,LAFISE,Propia,Promesa de Pago,PROPIO,MASC,HEREDIA,357.5,390.0,46,Si,2021
5218,4774.15,4719.05,5889,2021,SCOTIABANK,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,1625.0,1657.5,66,Si,2021
5314,498.85,498.85,5996,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,487.5,520.0,41,Si,2021
5401,4892.17,4892.17,6093,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,1072.5,1105.0,50,Si,2021
5545,934.59,934.59,6256,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,812.5,845.0,33,Si,2021
5560,392.38,392.38,6274,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,390.0,422.5,33,Si,2021
5721,586.84,586.84,6462,2021,CITI,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,260.0,292.5,46,Si,2021
5722,4141.12,3069.84,6463,2021,CITI,Propia,Promesa de Pago,PROPIO,FEM,SAN JOSE,195.0,227.5,70,Si,2021
5750,2748.41,2748.41,6494,2021,CITI,Propia,Promesa de Pago,PUBLICO,FEM,CARTAGO,1105.0,1137.5,41,Si,2021
5849,711.37,711.37,6611,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,0.0,32.5,72,Si,2021
5881,6281.21,4190.22,6647,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,FEM,LIMON,357.5,390.0,47,Si,2021
5996,826.24,826.24,6779,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,FEM,HEREDIA,455.0,487.5,44,Si,2007
6019,1883.88,1539.5,6804,2021,B-HSBC,Propia,Contacto sin Promesa,PRIVADO,MASC,HEREDIA,1202.5,1235.0,54,Si,0
6042,423.2,320.89,6827,2021,SERVIVALORES,Propia,Promesa de Pago,PUBLICO,MASC,CARTAGO,520.0,552.5,47,Si,2021
6058,4420.45,4420.45,6850,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,650.0,682.5,65,Si,2021
6086,241.29,241.29,6883,2021,CREDIX,Propia,Promesa de Pago,PUBLICO,FEM,SAN JOSE,682.5,715.0,51,Si,2021
6128,2215.16,2215.16,6931,2021,A-PROMERICA,Propia,Contacto indirecto,PUBLICO,MASC,SAN JOSE,487.5,520.0,54,Si,2020
6183,671.12,592.46,7004,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,390.0,422.5,33,Si,2021
6188,950.63,950.63,7009,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,260.0,292.5,57,Si,2021
6233,1793.36,1097.87,7059,2021,CREDIX,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,357.5,390.0,33,Si,2021
6237,4090.54,3727.04,7063,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,910.0,942.5,49,Si,2021
6270,4020.83,4020.83,7101,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,390.0,422.5,35,Si,2021
6308,2131.87,1706.5,7142,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,MASC,LIMON,162.5,195.0,54,Si,2021
6469,558.99,558.99,7329,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,CARTAGO,0.0,32.5,32,Si,2021
6482,1503.68,1503.68,7342,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,812.5,845.0,48,Si,2021
6736,1440.81,1440.81,7628,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,1202.5,1235.0,32,Si,2021
6776,2400.88,2400.88,7674,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,65.0,97.5,32,Si,2021
6807,582.36,572.54,7707,2021,CREDIX,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,617.5,650.0,25,Si,2021
6823,13435.16,13435.16,7726,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,MASC,PUNTARENAS,390.0,422.5,46,Si,2021
6879,1579.01,1579.01,7788,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,845.0,877.5,47,Si,2021
6934,257.12,192.37,7850,0,CAPICREDIT,Administrada,Traslado de cuenta (Distribución),PRIVADO,MASC,HEREDIA,130.0,162.5,28,Si,0
7274,7431.94,7431.94,8232,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,617.5,650.0,39,Si,2021
7291,514.4,514.4,8251,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,390.0,422.5,37,Si,2021
7293,238.25,168.92,8253,0,CAPICREDIT,Administrada,Traslado de cuenta (Distribución),PRIVADO,MASC,SAN JOSE,325.0,357.5,48,Si,0
7405,5852.87,5852.87,8377,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,617.5,650.0,33,Si,2021
7427,1129.17,1129.17,8400,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,552.5,585.0,32,Si,2021
7662,2198.99,2198.99,8659,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,1430.0,1462.5,27,Si,2021
7683,1816.11,1781.26,8683,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,195.0,227.5,43,Si,2021
7708,2462.67,2462.67,8710,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,GUANACASTE,1137.5,1170.0,37,Si,2021
7720,630.78,482.35,8723,0,CAPICREDIT,Administrada,Traslado de cuenta (Distribución),PRIVADO,MASC,SAN JOSE,487.5,520.0,28,Si,0
7806,4308.57,3401.15,8818,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,1332.5,1365.0,33,Si,2021
7972,304.65,304.65,8998,0,CAPICREDIT,Administrada,Traslado de cuenta (Distribución),PRIVADO,MASC,SAN JOSE,422.5,455.0,26,Si,0
8063,322.53,322.53,9094,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,GUANACASTE,195.0,227.5,41,Si,2021
8144,1022.68,1022.68,9179,2021,A-PROMERICA,Propia,Contacto sin Promesa,PUBLICO,MASC,PUNTARENAS,715.0,747.5,57,Si,0
8148,6218.56,6011.96,9183,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,357.5,390.0,53,Si,2021
8158,4288.45,4288.45,9193,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,455.0,487.5,63,Si,2021
8197,1058.69,1058.69,9237,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,455.0,487.5,34,Si,2021
8346,3196.28,3196.28,9403,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,422.5,455.0,26,Si,2021
8391,4222.32,4078.95,9450,2021,SCOTIABANK,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,0.0,32.5,38,Si,2021
8556,2418.43,2418.43,9634,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,845.0,877.5,47,Si,2021
8574,3334.21,3334.21,9652,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,357.5,390.0,37,Si,2021
8615,1086.11,1086.11,9695,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,650.0,682.5,43,Si,2021
8656,465.09,465.09,9740,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,162.5,195.0,46,Si,2021
8671,504.83,504.83,9756,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,422.5,455.0,57,Si,2021
8689,3881.78,3881.78,9775,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,910.0,942.5,33,Si,2021
8929,520.18,419.92,10030,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,260.0,292.5,40,Si,2021
9068,272.55,272.55,10172,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,FEM,PUNTARENAS,325.0,357.5,33,Si,2021
9073,14455.74,14455.74,10178,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,325.0,357.5,45,Si,2021
9079,798.25,798.25,10186,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,2047.5,2080.0,34,Si,2021
9081,4271.68,4271.68,10188,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,0.0,32.5,58,Si,2021
9285,242.29,229.68,10405,0,CAPICREDIT,Administrada,Traslado de cuenta (Distribución),PRIVADO,MASC,SAN JOSE,162.5,195.0,31,Si,0
9312,536.18,191.12,10433,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,357.5,390.0,32,Si,2021
9418,18428.14,18428.14,10545,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,FEM,HEREDIA,747.5,780.0,36,Si,2021
9453,3207.32,2122.05,10582,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,487.5,520.0,52,Si,2021
9470,721.96,673.0,10600,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,422.5,455.0,33,Si,2021
9529,6779.56,6779.56,10663,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,650.0,682.5,43,Si,2021
9539,5306.81,5306.81,10673,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,1072.5,1105.0,60,Si,2021
9593,248.42,1.53,10729,0,CAPICREDIT,Administrada,Traslado de cuenta (Distribución),PRIVADO,MASC,SAN JOSE,195.0,227.5,42,Si,2020
9704,1547.26,1547.26,10848,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,32.5,65.0,33,Si,2021
9766,10107.01,10107.01,10912,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,487.5,520.0,52,Si,2021
9775,815.33,807.23,10921,2021,CITI,Propia,Promesa de Pago,PUBLICO,MASC,LIMON,487.5,520.0,38,Si,2021
9785,1144.22,663.3,10931,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,PUNTARENAS,97.5,130.0,28,Si,2021
9933,15189.71,15189.71,11090,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,487.5,520.0,52,Si,2021
10115,2893.55,2893.55,11280,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,1072.5,1105.0,33,Si,2021
10305,21816.2,21816.2,11486,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,520.0,552.5,33,Si,2021
10322,3915.7,3915.7,11503,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,FEM,SAN JOSE,487.5,520.0,59,Si,2021
10328,1273.87,1273.87,11509,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,GUANACASTE,130.0,162.5,33,Si,2021
10329,10507.24,10507.24,11510,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,1950.0,1982.5,66,Si,2021
10379,670.15,670.15,11566,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,1300.0,1332.5,58,Si,2021
10511,1202.63,1202.63,11705,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,292.5,325.0,56,Si,2021
10551,15239.24,15239.24,11745,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,1430.0,1462.5,32,Si,2021
10585,1486.71,1486.71,11780,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,292.5,325.0,33,Si,2021
10615,261.68,261.68,11810,2021,SERVIVALORES,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,877.5,910.0,35,Si,2021
10768,1786.63,1786.63,11979,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,357.5,390.0,32,Si,2021
10780,92.74,92.74,11991,2021,CITI,Propia,Promesa de Pago,PUBLICO,FEM,GUANACASTE,487.5,520.0,45,Si,2021
10813,14302.72,14302.72,12026,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,FEM,SAN JOSE,1625.0,1657.5,41,Si,0
10816,1231.87,1231.87,12029,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,1820.0,1852.5,33,Si,2021
10829,3815.59,3815.59,12042,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,PUNTARENAS,1235.0,1267.5,33,Si,2021
10909,552.32,552.32,12130,2021,SERVIVALORES,Propia,Promesa de Pago,PROPIO,MASC,ALAJUELA,422.5,455.0,58,Si,2021
10973,2177.97,2159.67,12198,2021,CITI,Propia,Promesa de Pago,PUBLICO,MASC,PUNTARENAS,65.0,97.5,71,Si,2021
11039,273.44,273.44,12265,2018,CAPICREDIT,Administrada,Contacto indirecto,PRIVADO,MASC,CARTAGO,422.5,455.0,42,Si,2017
11119,1047.21,1047.21,12350,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,65.0,97.5,33,Si,2021
11123,2760.1,2760.1,12354,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,487.5,520.0,33,Si,2021
11165,9307.73,9307.73,12398,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,FEM,GUANACASTE,292.5,325.0,67,Si,2021
11183,1420.97,1420.97,12417,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,162.5,195.0,26,Si,2021
11226,1855.31,1855.31,12461,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,227.5,260.0,33,Si,2021
11317,8045.22,8045.22,12561,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,MASC,SAN JOSE,975.0,1007.5,54,Si,2021
11351,3402.48,3402.48,12596,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,1105.0,1137.5,37,Si,2021
11367,2740.07,2623.65,12612,2021,SCOTIABANK,Propia,Promesa de Pago,PROPIO,MASC,SAN JOSE,877.5,910.0,56,Si,2021
11432,904.49,904.49,12682,2021,A-PROMERICA,Propia,Contacto sin Promesa,PUBLICO,MASC,SAN JOSE,227.5,260.0,31,Si,0
11444,9889.46,9889.46,12695,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,715.0,747.5,54,Si,2021
11525,15085.13,15085.13,12777,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,195.0,227.5,48,Si,2021
11599,1259.13,1259.13,12856,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,FEM,SAN JOSE,682.5,715.0,33,Si,2021
11869,1799.0,1799.0,13144,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,NO INDICA,PUNTARENAS,487.5,520.0,51,Si,2021
11967,1085.29,1085.29,13249,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,GUANACASTE,227.5,260.0,34,Si,2021
11972,2182.28,2182.28,13254,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,292.5,325.0,30,Si,2021
11976,888.2,520.68,13258,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,650.0,682.5,33,Si,2021
12036,815.79,817.48,13321,2021,CREDIX,Propia,Promesa de Pago,PROPIO,FEM,SAN JOSE,65.0,97.5,33,Si,2021
12101,2065.01,2065.01,13389,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,325.0,357.5,32,Si,2021
12227,858.07,858.07,13522,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,780.0,812.5,32,Si,2021
12247,1356.31,1356.31,13542,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,390.0,422.5,51,Si,2021
12297,984.68,984.68,13593,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,780.0,812.5,32,Si,2021
12347,542.96,542.96,13644,2020,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,FEM,SAN JOSE,292.5,325.0,37,Si,0
12398,1165.88,1165.88,13697,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,PUNTARENAS,682.5,715.0,44,Si,2021
12432,3026.68,3026.68,13733,2021,CREDIX,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,1007.5,1040.0,50,Si,2021
12437,1128.24,1128.24,13738,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,130.0,162.5,31,Si,2021
12461,1788.29,1788.29,13767,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,325.0,357.5,33,Si,2021
12517,9992.86,9992.86,13827,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,MASC,SAN JOSE,162.5,195.0,57,Si,0
12558,292.03,292.03,13870,2021,A-PROMERICA,Propia,Contacto indirecto,PRIVADO,FEM,GUANACASTE,390.0,422.5,57,Si,2008
12568,1008.88,1008.88,13880,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,0.0,32.5,35,Si,2021
12610,1107.13,1107.13,13925,2021,CREDIX,Propia,Contacto sin Promesa,PRIVADO,MASC,LIMON,455.0,487.5,33,Si,2019
12650,347.36,347.36,13971,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,MASC,SAN JOSE,520.0,552.5,55,Si,0
12651,2010.26,2010.26,13972,2021,CITI,Propia,Promesa de Pago,PUBLICO,FEM,HEREDIA,357.5,390.0,43,Si,2021
